date,rank,song,artist,last_week,peak_rank,weeks_on_board,year,decade,mb_id,mb_title,mb_artist,mb_country,mb_date,mb_score,billboard_index,text_chunk
1973-01-20,46,I Am Woman,Helen Reddy,31.0,1,22,1973,1970,8884cc53-0966-44b5-ad88-5e318d121b25,I Am Woman,Helen Reddy,,,100.0,17,'I Am Woman' by Helen Reddy (1973). Billboard Hot 100 peak: #1. Match confidence: 100/100
1975-08-30,1,Get Down Tonight,KC And The Sunshine Band,3.0,1,8,1975,1970,08df5100-a425-44c8-820d-7ed0f2cfc0dc,Get Down Tonight,KC and the Sunshine Band,XE,1986,100.0,18,'Get Down Tonight' by KC And The Sunshine Band (1975). Billboard Hot 100 peak: #1. Country of origin: XE. Release date: 1986. Match confidence: 100/100
1984-06-02,100,Jump,Van Halen,89.0,1,21,1984,1980,cf753acb-0ae8-4e07-a073-e7039c84d38e,Jump,Van Halen,IT,1995,100.0,19,'Jump' by Van Halen (1984). Billboard Hot 100 peak: #1. Country of origin: IT. Release date: 1995. Match confidence: 100/100
1960-02-08,59,Mack The Knife,Bobby Darin,40.0,1,25,1960,1960,e6df2711-bde0-42e3-9b70-e344332ab586,Mack the Knife,Bobby Darin,US,2004,100.0,20,'Mack The Knife' by Bobby Darin (1960). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 2004. Match confidence: 100/100
1959-03-16,5,Stagger Lee,Lloyd Price,3.0,1,15,1959,1950,1eda8042-2868-454c-8f44-17a68b25c8be,Stagger Lee,Lloyd Price,US,,100.0,21,'Stagger Lee' by Lloyd Price (1959). Billboard Hot 100 peak: #1. Country of origin: US. Match confidence: 100/100
1975-08-23,1,Fallin' In Love,"Hamilton, Joe Frank & Reynolds",5.0,1,10,1975,1970,8c535441-ae68-4f34-be11-b057264cae2a,Fallin' In Love,"Hamilton, Joe Frank & Reynolds",,,100.0,22,"'Fallin' In Love' by Hamilton, Joe Frank & Reynolds (1975). Billboard Hot 100 peak: #1. Match confidence: 100/100"
1984-09-01,1,What's Love Got To Do With It,Tina Turner,2.0,1,16,1984,1980,38663f2d-4c3b-4ad4-a6df-989aadf28ffd,What’s Love Got to Do With It,Tina Turner,DE,1994,100.0,23,'What's Love Got To Do With It' by Tina Turner (1984). Billboard Hot 100 peak: #1. Country of origin: DE. Release date: 1994. Match confidence: 100/100
1963-03-16,1,Walk Like A Man,The 4 Seasons,1.0,1,8,1963,1960,abf2dca4-87cc-41a5-b7cd-79b6a2f8fa7b,Walk Like a Man,The 4 Seasons,,,100.0,24,'Walk Like A Man' by The 4 Seasons (1963). Billboard Hot 100 peak: #1. Match confidence: 100/100
1989-01-28,35,Look Away,Chicago,29.0,1,19,1989,1980,8091a979-28e8-4106-b30a-2f70bec48d17,Look Away,Chicago,NL,1990,100.0,25,'Look Away' by Chicago (1989). Billboard Hot 100 peak: #1. Country of origin: NL. Release date: 1990. Match confidence: 100/100
1988-03-05,1,Father Figure,George Michael,1.0,1,8,1988,1980,3edb1ffc-77a9-4ad4-8dd1-94e921cacb28,Father Figure,George Michael,US,,100.0,26,'Father Figure' by George Michael (1988). Billboard Hot 100 peak: #1. Country of origin: US. Match confidence: 100/100
1968-07-20,1,Grazing In The Grass,Hugh Masekela,5.0,1,7,1968,1960,ddc1c8d2-7671-4db2-a5a6-e8088b28943e,Grazing in the Grass,Hugh Masekela,US,2004-06-29,100.0,27,'Grazing In The Grass' by Hugh Masekela (1968). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 2004-06-29. Match confidence: 100/100
1964-08-22,1,Where Did Our Love Go,The Supremes,2.0,1,7,1964,1960,2ef341c1-f673-47f5-8653-c15085b498fb,Where Did Our Love Go,The Supremes,GB,2004,100.0,28,'Where Did Our Love Go' by The Supremes (1964). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2004. Match confidence: 100/100
1989-01-28,16,Every Rose Has Its Thorn,Poison,6.0,1,14,1989,1980,7bb352cc-7e76-4f6b-be44-f2acc464146b,Every Rose Has Its Thorn,Poison,,,100.0,29,'Every Rose Has Its Thorn' by Poison (1989). Billboard Hot 100 peak: #1. Match confidence: 100/100
1989-01-28,12,My Prerogative,Bobby Brown,4.0,1,15,1989,1980,66714d1a-0cdd-4312-8ef2-faf88270c23a,My Prerogative,Bobby Brown,GB,2011-10-03,100.0,30,'My Prerogative' by Bobby Brown (1989). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2011-10-03. Match confidence: 100/100
1968-06-29,41,Honey,Bobby Goldsboro,26.0,1,15,1968,1960,aa034563-3a52-4fbd-88a1-12293341d6c7,Honey,Bobby Goldsboro,BE,1986,100.0,31,'Honey' by Bobby Goldsboro (1968). Billboard Hot 100 peak: #1. Country of origin: BE. Release date: 1986. Match confidence: 100/100
1963-03-16,19,Walk Right In,The Rooftop Singers,10.0,1,11,1963,1960,04e62971-e954-4616-b2f0-0bbd5e961d0c,Walk Right In,The Rooftop Singers,US,2002-08-13,100.0,32,'Walk Right In' by The Rooftop Singers (1963). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 2002-08-13. Match confidence: 100/100
1990-09-08,1,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,2.0,1,8,1990,1990,,,,,,,33,"'Blaze Of Glory (From ""Young Guns II"")' by Jon Bon Jovi (1990). Billboard Hot 100 peak: #1"
1975-09-20,1,Fame,David Bowie,5.0,1,13,1975,1970,d346319f-c7ff-418d-9b4e-fde5318b6b0a,Fame,David Bowie,XE,2022-04-08,100.0,34,'Fame' by David Bowie (1975). Billboard Hot 100 peak: #1. Country of origin: XE. Release date: 2022-04-08. Match confidence: 100/100
1989-06-17,42,I'll Be There For You,Bon Jovi,26.0,1,16,1989,1980,1c472fbc-085f-4325-bc7d-bbbf6473057b,I’ll Be There for You,Bon Jovi,XE,2000,100.0,35,'I'll Be There For You' by Bon Jovi (1989). Billboard Hot 100 peak: #1. Country of origin: XE. Release date: 2000. Match confidence: 100/100
1989-06-17,1,I'll Be Loving You (Forever),New Kids On The Block,2.0,1,12,1989,1980,78b8d318-3007-43f0-9162-23aed1668941,I'll Be Loving You (Forever),New Kids on the Block,US,1989,100.0,36,'I'll Be Loving You (Forever)' by New Kids On The Block (1989). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1989. Match confidence: 100/100
1967-01-21,50,Good Vibrations,The Beach Boys,21.0,1,14,1967,1960,6afb51bc-ca0d-4a3b-a235-90b8f6a1e525,Good Vibrations,The Beach Boys,GB,2007-02-19,100.0,37,'Good Vibrations' by The Beach Boys (1967). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2007-02-19. Match confidence: 100/100
1984-09-29,1,Let's Go Crazy,Prince And The Revolution,2.0,1,9,1984,1980,8be89028-4b93-4d86-bb09-23ca4ac577c4,Let’s Go Crazy,Prince,XE,2017,100.0,38,'Let's Go Crazy' by Prince And The Revolution (1984). Billboard Hot 100 peak: #1. Country of origin: XE. Release date: 2017. Match confidence: 100/100
1984-04-07,97,Owner Of A Lonely Heart,Yes,79.0,1,23,1984,1980,54457079-4987-4e2a-9dab-b86d580e981e,Owner of a Lonely Heart,Yes,,,100.0,39,'Owner Of A Lonely Heart' by Yes (1984). Billboard Hot 100 peak: #1. Match confidence: 100/100
1989-06-10,83,Eternal Flame,The Bangles,72.0,1,19,1989,1980,951a170c-9e95-4090-86d5-b6815c3720b2,Eternal Flame,The Bangles,ZA,1999,100.0,40,'Eternal Flame' by The Bangles (1989). Billboard Hot 100 peak: #1. Country of origin: ZA. Release date: 1999. Match confidence: 100/100
1964-01-18,1,There! I've Said It Again,Bobby Vinton,1.0,1,8,1964,1960,958a0561-d298-4010-9971-f5f6f310695f,There! I’ve Said It Again,Bobby Vinton,XW,1987-04-07,100.0,41,'There! I've Said It Again' by Bobby Vinton (1964). Billboard Hot 100 peak: #1. Country of origin: XW. Release date: 1987-04-07. Match confidence: 100/100
1984-09-22,1,Missing You,John Waite,2.0,1,14,1984,1980,bd19af3f-54d5-492b-b62d-e2e9eed78f8b,Missing You,John Waite,XE,2005,100.0,42,'Missing You' by John Waite (1984). Billboard Hot 100 peak: #1. Country of origin: XE. Release date: 2005. Match confidence: 100/100
1967-06-03,2,Groovin',The Young Rascals,1.0,1,7,1967,1960,e73cfd16-2346-4f52-b1e5-28e6d7c200dd,Groovin’,The Young Rascals,XE,2004,100.0,43,'Groovin'' by The Young Rascals (1967). Billboard Hot 100 peak: #1. Country of origin: XE. Release date: 2004. Match confidence: 100/100
1975-07-19,68,Sister Golden Hair,America,29.0,1,16,1975,1970,bb0de733-26f7-4131-8712-eeb904f39ddb,Sister Golden Hair,America,XE,1997,100.0,44,'Sister Golden Hair' by America (1975). Billboard Hot 100 peak: #1. Country of origin: XE. Release date: 1997. Match confidence: 100/100
1968-08-03,1,"Hello, I Love You",The Doors,9.0,1,5,1968,1960,d2a7267e-5859-442a-8461-3f620a42301c,"Hello, I Love You",The Doors,XE,1987-04-30,100.0,45,"'Hello, I Love You' by The Doors (1968). Billboard Hot 100 peak: #1. Country of origin: XE. Release date: 1987-04-30. Match confidence: 100/100"
1988-03-12,1,Never Gonna Give You Up,Rick Astley,2.0,1,13,1988,1980,6380aade-eb66-47ce-a915-46ae372792d2,Never Gonna Give You Up,Rick Astley,NL,1999,100.0,46,'Never Gonna Give You Up' by Rick Astley (1988). Billboard Hot 100 peak: #1. Country of origin: NL. Release date: 1999. Match confidence: 100/100
1990-09-01,1,If Wishes Came True,Sweet Sensation,3.0,1,12,1990,1990,c823be5c-8bed-4f1c-a10b-393f7a93f1f2,If Wishes Came True,Sweet Sensation,,,100.0,47,'If Wishes Came True' by Sweet Sensation (1990). Billboard Hot 100 peak: #1. Match confidence: 100/100
1975-10-11,1,Bad Blood,Neil Sedaka,6.0,1,5,1975,1970,379ae959-222d-47f7-a135-94b325aa2308,Bad Blood,Neil Sedaka,,,100.0,48,'Bad Blood' by Neil Sedaka (1975). Billboard Hot 100 peak: #1. Match confidence: 100/100
1968-08-31,91,Light My Fire,The Doors,,1,18,1968,1960,c7ad5d68-4d21-4a14-9797-be05da398052,Light My Fire,The Doors,US,2017-07-28,100.0,49,'Light My Fire' by The Doors (1968). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 2017-07-28. Match confidence: 100/100
1990-09-15,1,Release Me,Wilson Phillips,2.0,1,12,1990,1990,7789d100-ba86-43ae-8641-7a79e94a0d03,Release Me,Wilson Phillips,,,100.0,50,'Release Me' by Wilson Phillips (1990). Billboard Hot 100 peak: #1. Match confidence: 100/100
1966-04-30,20,The Ballad Of The Green Berets,SSgt Barry Sadler,17.0,1,13,1966,1960,a7d0ec06-65c1-4c7b-9153-992a76b2ed62,The Ballad of the Green Berets,SSgt Barry Sadler,DE,1989,100.0,51,'The Ballad Of The Green Berets' by SSgt Barry Sadler (1966). Billboard Hot 100 peak: #1. Country of origin: DE. Release date: 1989. Match confidence: 100/100
1984-02-25,91,All Night Long (All Night),Lionel Richie,66.0,1,24,1984,1980,b39b4d76-c5cf-4a70-8562-eae27eb21509,All Night Long (All Night),Lionel Richie,US,1986,100.0,52,'All Night Long (All Night)' by Lionel Richie (1984). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1986. Match confidence: 100/100
1973-03-24,1,Love Train,The O'Jays,3.0,1,10,1973,1970,6a9ed63b-6ecd-4ee9-a181-660303a284bb,Love Train,The O’Jays,US,1998-02-24,100.0,53,'Love Train' by The O'Jays (1973). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1998-02-24. Match confidence: 100/100
1971-12-04,23,Maggie May/Reason To Believe,Rod Stewart,11.0,1,21,1971,1970,,,,,,,54,'Maggie May/Reason To Believe' by Rod Stewart (1971). Billboard Hot 100 peak: #1
1984-10-13,1,I Just Called To Say I Love You,Stevie Wonder,2.0,1,9,1984,1980,f12cdc0f-05e0-466d-bea1-6ecc6a42110c,I Just Called to Say I Love You,Stevie Wonder,US,1993,100.0,55,'I Just Called To Say I Love You' by Stevie Wonder (1984). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1993. Match confidence: 100/100
1964-09-05,1,House Of The Rising Sun,The Animals,2.0,1,5,1964,1960,9f6fdae5-5450-4bd0-959a-538aacd4b9c4,House of the Rising Sun,The Animals,DE,2001,100.0,56,'House Of The Rising Sun' by The Animals (1964). Billboard Hot 100 peak: #1. Country of origin: DE. Release date: 2001. Match confidence: 100/100
1984-03-10,99,Say Say Say,Paul McCartney And Michael Jackson,76.0,1,22,1984,1980,62b11801-ee83-49a2-a441-5151eb74eba8,"Say, Say, Say",Paul McCartney,CA,2000,100.0,57,'Say Say Say' by Paul McCartney And Michael Jackson (1984). Billboard Hot 100 peak: #1. Country of origin: CA. Release date: 2000. Match confidence: 100/100
1968-08-17,1,People Got To Be Free,The Rascals,5.0,1,5,1968,1960,c1d4027f-4a82-49aa-b94f-35f707a158f8,People Got to Be Free,The Rascals,NL,2001,100.0,58,'People Got To Be Free' by The Rascals (1968). Billboard Hot 100 peak: #1. Country of origin: NL. Release date: 2001. Match confidence: 100/100
1972-01-15,1,American Pie (Parts I & II),Don McLean,2.0,1,8,1972,1970,,,,,,,59,'American Pie (Parts I & II)' by Don McLean (1972). Billboard Hot 100 peak: #1
1990-08-04,97,Nothing Compares 2 U,Sinead O'Connor,72.0,1,21,1990,1990,cfa03e25-2700-490c-b087-9bc8feec5cb5,Nothing Compares 2 U,Sinéad O’Connor,FR,1990,100.0,60,'Nothing Compares 2 U' by Sinead O'Connor (1990). Billboard Hot 100 peak: #1. Country of origin: FR. Release date: 1990. Match confidence: 100/100
1963-03-16,7,Hey Paula,Paul and Paula,4.0,1,12,1963,1960,71c3dced-e5d1-468c-848c-d168d71be7b5,Hey Paula,Paul & Paula,XE,1989,100.0,61,'Hey Paula' by Paul and Paula (1963). Billboard Hot 100 peak: #1. Country of origin: XE. Release date: 1989. Match confidence: 100/100
1962-01-20,74,Big Bad John,Jimmy Dean,55.0,1,16,1962,1960,c314a2d6-30be-4264-9218-b993337b1752,Big Bad John,Jimmy Dean,,,100.0,62,'Big Bad John' by Jimmy Dean (1962). Billboard Hot 100 peak: #1. Match confidence: 100/100
1975-09-27,1,I'm Sorry,John Denver,4.0,1,7,1975,1970,f13451da-0e11-4fc5-b1b5-c47bef39dea5,I'm Sorry,John Denver,,,100.0,63,'I'm Sorry' by John Denver (1975). Billboard Hot 100 peak: #1. Match confidence: 100/100
1975-06-28,43,Shining Star,"Earth, Wind & Fire",29.0,1,20,1975,1970,433b1946-6aa8-4193-a8aa-1f0351c80968,Shining Star,"Earth, Wind & Fire",,,100.0,64,"'Shining Star' by Earth, Wind & Fire (1975). Billboard Hot 100 peak: #1. Match confidence: 100/100"
1960-02-22,1,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,6.0,1,7,1960,1960,,,,,,,65,"'The Theme From ""A Summer Place""' by Percy Faith And His Orchestra (1960). Billboard Hot 100 peak: #1"
1990-09-29,1,(Can't Live Without Your) Love And Affection,Nelson,4.0,1,13,1990,1990,7729dedc-712b-43f9-8e27-b19f8f49b3ff,(Can’t Live Without Your) Love and Affection,Nelson,US,2005-10-18,100.0,66,'(Can't Live Without Your) Love And Affection' by Nelson (1990). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 2005-10-18. Match confidence: 100/100
1966-05-28,1,When A Man Loves A Woman,Percy Sledge,4.0,1,8,1966,1960,5c0d515d-0300-4775-97aa-708f0f698228,When a Man Loves a Woman,Percy Sledge,,,100.0,67,'When A Man Loves A Woman' by Percy Sledge (1966). Billboard Hot 100 peak: #1. Match confidence: 100/100
1966-04-23,34,These Boots Are Made For Walkin',Nancy Sinatra,20.0,1,14,1966,1960,05b562a0-244a-4443-9f87-5b81351c3f00,These Boots Are Made For Walkin',Nancy Sinatra,US,1989,100.0,68,'These Boots Are Made For Walkin'' by Nancy Sinatra (1966). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1989. Match confidence: 100/100
1975-11-01,1,Island Girl,Elton John,8.0,1,4,1975,1970,fb541776-466f-429a-9277-9fc0e5174f32,Island Girl,Elton John,BR,1988,100.0,69,'Island Girl' by Elton John (1975). Billboard Hot 100 peak: #1. Country of origin: BR. Release date: 1988. Match confidence: 100/100
1988-02-13,97,Heaven Is A Place On Earth,Belinda Carlisle,79.0,1,21,1988,1980,17710b3c-2ce1-4240-abfd-c7f44eef5598,Heaven Is a Place on Earth,Belinda Carlisle,GB,2014-03-17,100.0,70,'Heaven Is A Place On Earth' by Belinda Carlisle (1988). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2014-03-17. Match confidence: 100/100
1988-02-13,91,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,77.0,1,21,1988,1980,524803da-e13b-4e7a-9b9a-1402c3fe3405,(I’ve Had) The Time of My Life,Bill Medley,AU,2017,100.0,71,'(I've Had) The Time Of My Life' by Bill Medley & Jennifer Warnes (1988). Billboard Hot 100 peak: #1. Country of origin: AU. Release date: 2017. Match confidence: 100/100
1973-04-07,1,The Night The Lights Went Out In Georgia,Vicki Lawrence,10.0,1,9,1973,1970,c81c964d-9b92-4cbf-943a-9868eeac716e,The Night the Lights Went Out in Georgia,Vicki Lawrence,US,1979,100.0,72,'The Night The Lights Went Out In Georgia' by Vicki Lawrence (1973). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1979. Match confidence: 100/100
1984-11-03,1,Caribbean Queen (No More Love On The Run),Billy Ocean,2.0,1,13,1984,1980,7291a5fe-f0d2-4ffa-b31d-18bf882f8d35,Caribbean Queen (No More Love on the Run),Billy Ocean,GB,2023-01-14,100.0,73,'Caribbean Queen (No More Love On The Run)' by Billy Ocean (1984). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2023-01-14. Match confidence: 100/100
1967-01-14,50,You Keep Me Hangin' On,The Supremes,21.0,1,12,1967,1960,52376d61-49b3-4f56-b630-dd3f40ad3fcd,You Keep Me Hangin’ On,The Supremes,DE,2010,100.0,74,'You Keep Me Hangin' On' by The Supremes (1967). Billboard Hot 100 peak: #1. Country of origin: DE. Release date: 2010. Match confidence: 100/100
1984-01-28,96,Total Eclipse Of The Heart,Bonnie Tyler,87.0,1,29,1984,1980,a055d063-2eff-4199-bb7d-00fa03f95452,Total Eclipse of the Heart,Bonnie Tyler,GB,2006-11-27,100.0,75,'Total Eclipse Of The Heart' by Bonnie Tyler (1984). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2006-11-27. Match confidence: 100/100
1989-01-21,87,"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin,69.0,1,26,1989,1980,,,,,,,76,"'Don't Worry, Be Happy (From ""Cocktail"")' by Bobby McFerrin (1989). Billboard Hot 100 peak: #1"
1984-02-11,97,Islands In The Stream,Kenny Rogers Duet With Dolly Parton,72.0,1,25,1984,1980,,,,,,,77,'Islands In The Stream' by Kenny Rogers Duet With Dolly Parton (1984). Billboard Hot 100 peak: #1
1962-03-10,1,Hey! Baby,Bruce Channel,2.0,1,7,1962,1960,1f777783-b303-4981-baa2-fe60b1da1128,Hey! Baby,Bruce Channel,GB,2000-08-11,100.0,78,'Hey! Baby' by Bruce Channel (1962). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2000-08-11. Match confidence: 100/100
1962-12-08,1,Big Girls Don't Cry,The 4 Seasons,1.0,1,8,1962,1960,61a2e044-3a96-4857-bb80-7dc1eb2272e6,Big Girls Don’t Cry,The 4 Seasons,CA,2023-11,100.0,79,'Big Girls Don't Cry' by The 4 Seasons (1962). Billboard Hot 100 peak: #1. Country of origin: CA. Release date: 2023-11. Match confidence: 100/100
1963-10-26,1,Sugar Shack,Jimmy Gilmer And The Fireballs,1.0,1,6,1963,1960,2cab24b8-54af-411d-b1d8-7bc7aba6f62c,Sugar Shack,Jimmy Gilmer and The Fireballs,FR,2004,100.0,80,'Sugar Shack' by Jimmy Gilmer And The Fireballs (1963). Billboard Hot 100 peak: #1. Country of origin: FR. Release date: 2004. Match confidence: 100/100
1962-12-08,59,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",31.0,1,14,1962,1960,ec05c963-c0ed-4741-a078-42f880d410c1,Monster Mash,Bobby Pickett and the Crypt‐Kickers,AU,1981,100.0,81,"'Monster Mash' by Bobby ""Boris"" Pickett And The Crypt-Kickers (1962). Billboard Hot 100 peak: #1. Country of origin: AU. Release date: 1981. Match confidence: 100/100"
1975-06-21,44,Before The Next Teardrop Falls,Freddy Fender,19.0,1,21,1975,1970,aa55b142-3c08-4c83-afb6-3d8a34599757,Before the Next Teardrop Falls,Freddy Fender,GB,1997,100.0,82,'Before The Next Teardrop Falls' by Freddy Fender (1975). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 1997. Match confidence: 100/100
1989-06-24,1,Satisfied,Richard Marx,4.0,1,8,1989,1980,b27f75fe-4e90-4cb0-ad24-61b046f96788,Satisfied,Richard Marx,,,100.0,83,'Satisfied' by Richard Marx (1989). Billboard Hot 100 peak: #1. Match confidence: 100/100
1964-09-26,1,"Oh, Pretty Woman",Roy Orbison And The Candy Men,4.0,1,5,1964,1960,3ea09752-9d42-49fd-b2c7-dfb9e1dfbf6f,Oh Pretty Woman,Roy Orbison & The Candy Men,,,100.0,84,"'Oh, Pretty Woman' by Roy Orbison And The Candy Men (1964). Billboard Hot 100 peak: #1. Match confidence: 100/100"
1975-11-29,1,"Fly, Robin, Fly",Silver Convention,2.0,1,8,1975,1970,a25b88d7-efd8-43e6-a813-dc9cd7a705cd,Fly Robin Fly,Silver Convention,,,100.0,85,"'Fly, Robin, Fly' by Silver Convention (1975). Billboard Hot 100 peak: #1. Match confidence: 100/100"
1990-10-06,1,Close To You,Maxi Priest,2.0,1,15,1990,1990,df738e7d-5079-4dea-aaf0-af27ae55496d,Close to You,Maxi Priest,,,100.0,86,'Close To You' by Maxi Priest (1990). Billboard Hot 100 peak: #1. Match confidence: 100/100
